origin,destination,volume,,Origin(total),Volume(total),,x,y
06007,40047,63,,,,,,
06007,40065,13,,,,,,
06007,40125,16,,,,,,
06007,40143,6,,,,,,
06007,41003,78,,,,,,
06007,41005,152,,,,,,
06007,41011,14,,,,,,
06007,41015,9,,,,,,
06007,41017,99,,,,,,
06007,41019,50,,,,,,
06007,41029,22,,,,,,
06007,41031,12,,,,,,
06007,41033,48,,,,,,
06007,41035,42,,,,,,
06007,41039,40,,,,,,
06007,41041,71,,,,,,
06007,41047,25,,,,,,
06007,41051,129,,,,,,
06007,41067,80,,,,,,
06007,42035,9,,,,,,
06007,42039,8,,,,,,
06007,42049,2,,,,,,
06007,45079,41,,,,,,
06007,46011,11,,,,,,
06007,46081,33,,,,,,
06007,46103,7,,,,,,
06007,46129,37,,,,,,
06007,47017,13,,,,,,
06007,47035,39,,,,,,
06007,47065,95,,,,,,
06007,48031,4,,,,,,
06007,48035,28,,,,,,
06007,48041,16,,,,,,
06007,48113,11,,,,,,
06007,48181,94,,,,,,
06007,48183,2,,,,,,
06007,48201,7,,,,,,
06007,48209,12,,,,,,
06007,48339,37,,,,,,
06007,48439,22,,,,,,
06007,48453,82,,,,,,
06007,48485,21,,,,,,
06007,48497,26,,,,,,
06007,49007,14,,,,,,
06007,49035,33,,,,,,
06007,49043,1,,,,,,
06007,49049,66,,,,,,
06007,49053,18,,,,,,
06007,51059,21,,,,,,
06007,51700,12,,,,,,
06007,53011,24,,,,,,
06007,53015,44,,,,,,
06007,53029,39,,,,,,
06007,53033,58,,,,,,
06007,53053,33,,,,,,
06007,53055,8,,,,,,
06007,53057,52,,,,,,
06007,53063,2,,,,,,
06007,53067,6,,,,,,
06007,53071,1,,,,,,
06007,53073,88,,,,,,
06007,53077,2,,,,,,
06007,55001,5,,,,,,
06007,55009,5,,,,,,
06007,55059,31,,,,,,
06007,55073,12,,,,,,
06007,55079,20,,,,,,
06007,55081,1,,,,,,
06007,55105,24,,,,,,
